"Postal Code","Place Name",State,County,City
24000,Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24001 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24002 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24003 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24004 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24005 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24007 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24009 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24010 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24011 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24012 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24013 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24014 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24015 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24016 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24017 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24019 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24020 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24022 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24024 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24029 CEDEX",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
"24050 CEDEX 9",Périgueux,Aquitaine,Dordogne,"Arrondissement de Périgueux"
